   , N   , Choleskio laik.        , Lygčių spr. laik.
  0,    4,     0.01621246337890625,   0.0171661376953125
  1,    9,     0.05245208740234375,   0.047206878662109375
  2,   14,     0.1571178436279297 ,   0.09775161743164062
  3,   19,     0.3352165222167969 ,   0.15974044799804688
  4,   24,     0.6489753723144531 ,   0.270843505859375
  5,   29,     1.2021064758300781 ,   0.38623809814453125
  6,   34,     1.8780231475830078 ,   0.5512237548828125
  7,   39,     2.685070037841797  ,   0.6644725799560547
  8,   44,     3.862142562866211  ,   0.9241104125976562
  9,   49,     5.525112152099609  ,   1.079559326171875
 10,   54,     7.08317756652832   ,   1.2638568878173828
 11,   59,     9.13095474243164   ,   1.5687942504882812
 12,   64,    11.807918548583984  ,   1.7981529235839844
 13,   69,    14.510154724121094  ,   2.0890235900878906
 14,   74,    17.93670654296875   ,   2.4499893188476562
 15,   79,    21.41594886779785   ,   2.8235912322998047
 16,   84,    25.495052337646484  ,   3.068208694458008
 17,   89,    30.347824096679688  ,   3.488302230834961
 18,   94,    36.441802978515625  ,   4.039764404296875
 19,   99,    42.656898498535156  ,   4.441976547241211
 20,  104,    49.74699020385742   ,   4.795074462890625
 21,  109,    55.48906326293945   ,   5.244970321655273
 22,  114,    62.608957290649414  ,   5.701541900634766
 23,  119,    71.46310806274414   ,   6.034374237060547
 24,  124,    79.5278549194336    ,   6.578922271728516
 25,  129,    89.49112892150879   ,   7.120847702026367
 26,  134,   100.44097900390625   ,   7.824897766113281
 27,  139,   112.78581619262695   ,   8.445978164672852
 28,  144,   209.95116233825684   ,   8.984804153442383
 29,  149,   138.9179229736328    ,   9.501218795776367
 30,  154,   153.10311317443848   ,  10.25247573852539
 31,  159,   167.81997680664062   ,  10.955095291137695
 32,  164,   183.4392547607422    ,  11.45172119140625
 33,  169,   200.6528377532959    ,  12.434959411621094
 34,  174,   219.11311149597168   ,  13.859033584594727
 35,  179,   272.0792293548584    ,  15.139102935791016
 36,  184,   287.26768493652344   ,  14.423608779907227
 37,  189,   295.63212394714355   ,  15.526056289672852
 38,  194,   302.6881217956543    ,  16.035795211791992
 39,  199,   323.12583923339844   ,  16.60895347595215
 40,  204,   349.945068359375     ,  17.805814743041992
 41,  209,   372.0591068267822    ,  18.388032913208008
 42,  214,   414.95513916015625   ,  19.115924835205078
 43,  219,   434.10301208496094   ,  20.465850830078125
 44,  224,   461.7478847503662    ,  21.065950393676758
 45,  229,   488.008975982666     ,  22.085189819335938
 46,  234,   518.2902812957764    ,  23.155927658081055
 47,  239,   556.5550327301025    ,  23.989200592041016
 48,  244,   586.1392021179199    ,  25.350093841552734
 49,  249,   627.3059844970703    ,  25.92611312866211
 50,  254,   669.0771579742432    ,  27.522802352905273
 51,  259,   708.6598873138428    ,  28.84817123413086
 52,  264,   748.8749027252197    ,  29.752016067504883
 53,  269,   788.121223449707     ,  30.835866928100586
 54,  274,   840.6116962432861    ,  32.9282283782959
 55,  279,   880.2289962768555    ,  32.666683197021484
 56,  284,   929.3529987335205    ,  34.05189514160156
 57,  289,   977.76198387146      ,  35.300254821777344
 58,  294,  1026.7601013183594    ,  36.331892013549805
 59,  299,  1082.2350978851318    ,  37.52422332763672
 60,  304,  1136.3048553466797    ,  39.269447326660156
 61,  309,  1203.1660079956055    ,  40.51995277404785
 62,  314,  1250.2672672271729    ,  41.819095611572266
 63,  319,  1312.0262622833252    ,  42.784929275512695
 64,  324,  1372.586965560913     ,  44.60740089416504
 65,  329,  1438.0888938903809    ,  45.61257362365723
 66,  334,  1497.622013092041     ,  46.99516296386719
 67,  339,  1568.1211948394775    ,  48.22492599487305
 68,  344,  1635.0641250610352    ,  50.11415481567383
 69,  349,  1705.8417797088623    ,  51.3608455657959
 70,  354,  1783.1730842590332    ,  52.18362808227539
 71,  359,  1861.2351417541504    ,  53.88379096984863
 72,  364,  1937.1469020843506    ,  55.98926544189453
 73,  369,  2023.575782775879     ,  57.79600143432617
 74,  374,  2111.14501953125      ,  59.1428279876709
 75,  379,  2190.225124359131     ,  61.6452693939209
 76,  384,  2282.467842102051     ,  62.23297119140625
 77,  389,  2376.023769378662     ,  63.83919715881348
 78,  394,  2464.6918773651123    ,  66.25890731811523
 79,  399,  2563.288688659668     ,  67.24882125854492
 80,  404,  2733.910083770752     ,  72.34930992126465
 81,  409,  2922.584056854248     ,  71.61998748779297
 82,  414,  2904.3779373168945    ,  73.74906539916992
 83,  419,  3037.2159481048584    ,  74.89418983459473
 84,  424,  3099.7848510742188    ,  76.41911506652832
 85,  429,  3257.6661109924316    ,  78.57680320739746
 86,  434,  3312.342882156372     ,  80.22499084472656
 87,  439,  3430.8249950408936    ,  81.39967918395996
 88,  444,  3559.1230392456055    ,  84.20228958129883
 89,  449,  3664.379119873047     ,  85.51716804504395
 90,  454,  3779.0958881378174    ,  87.11719512939453
 91,  459,  3904.622793197632     ,  90.49081802368164
 92,  464,  4048.1109619140625    ,  91.51911735534668
 93,  469,  4179.577827453613     ,  93.24216842651367
 94,  474,  4312.163829803467     ,  95.19410133361816
 95,  479,  4445.1258182525635    ,  98.33621978759766
 96,  484,  4589.71381187439      ,  99.66897964477539
 97,  489,  4756.942987442017     , 101.38559341430664
 98,  494,  4876.111268997192     , 104.04205322265625
 99,  499,  5030.122995376587     , 105.73101043701172
100,  504,  5178.51996421814      , 107.86700248718262
101,  509,  5334.941148757935     , 110.28313636779785
102,  514,  5539.725780487061     , 112.07771301269531
103,  519,  5646.47102355957      , 114.83216285705566
104,  524,  5822.113037109375     , 116.91904067993164
105,  529,  5976.603746414185     , 118.61705780029297
106,  534,  6200.855255126953     , 121.23322486877441
107,  539,  6323.6188888549805    , 122.72834777832031
108,  544,  6492.578029632568     , 126.35421752929688
109,  549,  6723.879098892212     , 130.33056259155273
110,  554,  6887.0368003845215    , 130.85436820983887
111,  559,  7057.781934738159     , 132.66992568969727
112,  564,  7235.589027404785     , 135.30206680297852
113,  569,  7443.642854690552     , 137.54868507385254
114,  574,  7626.660108566284     , 139.6327018737793
115,  579,  7832.489013671875     , 142.3499584197998
116,  584,  8088.383436203003     , 152.67419815063477
117,  589,  8271.946907043457     , 147.21322059631348
118,  594,  8476.676940917969     , 151.53932571411133
119,  599,  8682.95407295227      , 152.76074409484863
120,  604,  9000.130891799927     , 155.6377410888672
121,  609,  9267.855167388916     , 172.58000373840332
122,  614,  9608.814001083374     , 160.09092330932617
123,  619,  9547.579050064087     , 160.90893745422363
124,  624,  9762.641191482544     , 166.08500480651855
125,  629, 10063.912868499756     , 168.24007034301758
126,  634, 10212.944030761719     , 168.94125938415527
127,  639, 10461.591005325317     , 172.1348762512207
128,  644, 10725.674152374268     , 175.3249168395996
129,  649, 10983.654260635376     , 178.9877414703369
130,  654, 11230.684995651245     , 180.85980415344238
131,  659, 11538.157939910889     , 183.98404121398926
132,  664, 12076.98106765747      , 194.2448616027832
133,  669, 12085.62684059143      , 189.316987991333
134,  674, 12345.389604568481     , 192.0299530029297
135,  679, 12866.679906845093     , 197.5102424621582
136,  684, 13128.414869308472     , 197.45182991027832
137,  689, 13296.62537574768      , 202.81291007995605
138,  694, 13607.248783111572     , 204.05292510986328
139,  699, 13977.192878723145     , 205.78622817993164
140,  704, 14018.77498626709      , 210.40010452270508
141,  709, 14307.162046432495     , 212.62216567993164
142,  714, 14688.433170318604     , 216.06802940368652
143,  719, 15020.041942596436     , 216.9933319091797
144,  724, 15326.267957687378     , 226.95231437683105
145,  729, 15785.54391860962      , 228.15990447998047
146,  734, 16025.484085083008     , 226.31597518920898
147,  739, 16627.79188156128      , 230.80682754516602
148,  744, 16624.35007095337      , 232.08975791931152
149,  749, 17338.37103843689      , 235.91876029968262
150,  754, 17421.23007774353      , 243.14498901367188
151,  759, 17861.28878593445      , 246.17385864257812
152,  764, 18160.49814224243      , 252.76923179626465
153,  769, 18392.649173736572     , 250.07128715515137
154,  774, 18740.41795730591      , 252.98500061035156
155,  779, 18984.237909317017     , 255.13863563537598
156,  784, 19368.773221969604     , 259.17625427246094
157,  789, 19736.258029937744     , 262.64238357543945
158,  794, 20477.807998657227     , 264.3556594848633
159,  799, 20406.73303604126      , 268.176794052124
160,  804, 20690.314054489136     , 270.2951431274414
161,  809, 21096.40908241272      , 276.71289443969727
162,  814, 21384.963035583496     , 277.987003326416
163,  819, 21802.257776260376     , 284.52205657958984
164,  824, 22196.725130081177     , 291.6247844696045
165,  829, 22659.403085708618     , 289.51478004455566
166,  834, 23032.8631401062       , 294.82197761535645
167,  839, 24196.48504257202      , 306.0741424560547
168,  844, 23525.99811553955      , 297.60122299194336
169,  849, 24311.917066574097     , 303.0569553375244
170,  854, 24691.234827041626     , 306.57052993774414
171,  859, 25145.153999328613     , 309.44085121154785
172,  864, 25830.129861831665     , 315.716028213501
173,  869, 26550.246238708496     , 321.76780700683594
174,  874, 27153.07593345642      , 318.8600540161133
175,  879, 26925.644874572754     , 321.25210762023926
176,  884, 27349.68590736389      , 324.7988224029541
177,  889, 27864.365816116333     , 330.9469223022461
178,  894, 28291.24116897583      , 334.78283882141113
179,  899, 28818.331241607666     , 336.0259532928467
180,  904, 29335.86096763611      , 338.46497535705566
181,  909, 29888.66090774536      , 347.40471839904785
182,  914, 30248.577117919922     , 346.649169921875
183,  919, 30766.791820526123     , 351.1619567871094
184,  924, 31637.178897857666     , 354.9389839172363
185,  929, 32138.261079788208     , 358.38794708251953
186,  934, 32290.11082649231      , 360.62169075012207
187,  939, 32844.8281288147       , 368.5290813446045
188,  944, 33366.01805686951      , 369.8253631591797
189,  949, 33786.26585006714      , 373.7070560455322
190,  954, 34421.868085861206     , 382.81702995300293
191,  959, 35021.9349861145       , 381.9577693939209
192,  964, 35456.539154052734     , 388.2708549499512
193,  969, 35934.961795806885     , 392.758846282959
194,  974, 36481.48822784424      , 395.06983757019043
195,  979, 37093.80388259888      , 396.9557285308838
196,  984, 37662.46700286865      , 399.92475509643555
197,  989, 38332.70812034607      , 408.430814743042
198,  994, 38879.85610961914      , 415.9257411956787
199, 1000, 39575.00600814819      , 417.02914237976074
