  , x  , y_est              , y_real             , error
 0, 0.0,  1.0               ,  1.0               , 0.0
 1, 0.1,  1.0100001243781094,  1.0100001654298556, 4.1051746224596286e-08
 2, 0.2,  1.04000927411542  ,  1.040010359748775 , 1.0856333549913444e-06
 3, 0.3,  1.090108626863977 ,  1.0901140157847804, 5.388920803373054e-06
 4, 0.4,  1.1605973308283233,  1.1606126580317917, 1.5327203468418205e-05
 5, 0.5,  1.252186276222079 ,  1.2522183648930736, 3.2088670994578905e-05
 6, 0.6,  1.36620253424607  ,  1.3662572338767982, 5.46996307282388e-05
 7, 0.7,  1.5047902942334044,  1.5048695757143735, 7.928148096914e-05
 8, 0.8,  1.6711174242176479,  1.6712156529334876, 9.822871583975434e-05
 9, 0.9,  1.869611100673732 ,  1.8697101308365807, 9.903016284873445e-05
10, 1.0,  2.1062529861383243,  2.106315184609865 , 6.219847154076419e-05
11, 1.1,  2.3889683467814358,  2.3889263917287296, 4.1955052706210694e-05
12, 1.2,  2.7281498105335587,  2.7278914263571985, 0.0002583841763601491
13, 1.3,  3.1373665665871053,  3.1367118787453867, 0.0006546878417186264
14, 1.4,  3.6343277612962948,  3.632995200975811 , 0.0013325603204838998
15, 1.5,  4.242193802871717 ,  4.23974901058035  , 0.0024447922913672926
16, 1.6,  4.991368011656722 ,  4.987146943001195 , 0.0042210686555268495
17, 1.7,  5.9219554476119445,  5.914948791249223 , 0.007006656362721131
18, 1.8,  7.087156966850499 ,  7.075835180012538 , 0.011321786837960701
19, 1.9,  8.557981747710178 ,  8.540029603557885 , 0.01795214415229296
20, 2.0, 10.429833178573894 , 10.40174504909097  , 0.028088129482924273
