,x,y_est,y_real,error
0,0.0,1.0,1.0,0.0
1,0.01,1.0001000000006666,1.0001000000001667,4.998224056862455e-13
2,0.02,1.0004000000131616,1.0004000000106634,2.4982238500115272e-12
3,0.03,1.000900000128407,1.000900000121418,6.9888539400153604e-12
4,0.04,1.0016000006968078,1.0016000006818488,1.4958922989194434e-11
5,0.05,1.0025000026266822,1.0025000025992967,2.7385427259218886e-11
6,0.06,1.0036000078003169,1.0036000077550853,4.52315962462535e-11
7,0.07,1.0049000196059277,1.0049000195364814,6.944622654714294e-11
8,0.08,1.0064000435833325,1.006400043482373,1.0095946301191816e-10
9,0.09,1.008100088180704,1.0081000880400242,1.4067991216393239e-10
10,0.1,1.0100001656193505,1.0100001654298556,1.8949486424446604e-10
11,0.11,1.0121002928630778,1.0121002926148124,2.482654082314184e-10
12,0.12,1.0144004926883332,1.0144004923705061,3.1782709797312236e-10
13,0.13,1.0169007948509972,1.0169007944520108,3.9898639947466563e-10
14,0.14,1.0196012373454097,1.0196012368528897,4.92520024764076e-10
15,0.15,1.0225018677509616,1.0225018671517874,5.991742657585064e-10
16,0.16,1.0256027446613722,1.0256027439417097,7.196625517735811e-10
17,0.17,1.028903939191609,1.0289039383369418,8.546672258802346e-10
18,0.18,1.0324055365572722,1.0324055355524353,1.004836880369453e-09
19,0.19,1.0361076377211835,1.0361076365503972,1.1707863567522736e-09
20,0.2,1.0400103611018738,1.040010359748775,1.3530987441612297e-09
21,0.21,1.044113844338653,1.04411384278633,1.5523231589043007e-09
22,0.22,1.0484182461079847,1.048418244339009,1.7689756326433326e-09
23,0.23,1.0529237479859528,1.052923745982411,2.0035417769292962e-09
24,0.24,1.057630556351713,1.0576305540952384,2.256474562756239e-09
25,0.25,1.0625389043269593,1.0625389017987616,2.5281976512303572e-09
26,0.26,1.0676490537466006,1.067649050927496,2.8191045053915786e-09
27,0.27,1.0729612971560385,1.0729612940264766,3.1295619429272392e-09
28,0.28,1.0784759598306548,1.0784759563707456,3.4599092479936644e-09
29,0.29,1.0841934018133568,1.0841933980028957,3.810461057796033e-09
30,0.3,1.090114019966288,1.0901140157847804,4.181507584632982e-09
31,0.31,1.0962382500330872,1.0962382454597697,4.5733175024764705e-09
32,0.32,1.102566568708362,1.1025665637222233,4.986138613105595e-09
33,0.33,1.109099495711346,1.1090994902911457,5.420200288597243e-09
