  , x  , y_est              , y_real             , error
 0, 0.0,  1.0               ,  1.0               , 0.0
 1, 0.1,  1.0100006535947712,  1.0100001654298556, 4.881649156018852e-07
 2, 0.2,  1.040012680697742 ,  1.040010359748775 , 2.3209489670161787e-06
 3, 0.3,  1.0901200537589393,  1.0901140157847804, 6.037974158878967e-06
 4, 0.4,  1.1606245146492307,  1.1606126580317917, 1.18566174389656e-05
 5, 0.5,  1.2522381812663583,  1.2522183648930736, 1.9816373284742284e-05
 6, 0.6,  1.3662871647927668,  1.3662572338767982, 2.99309159685901e-05
 7, 0.7,  1.504911829956541 ,  1.5048695757143735, 4.225424216741658e-05
 8, 0.8,  1.6712725028937223,  1.6712156529334876, 5.684996023469502e-05
 9, 0.9,  1.8697838177105397,  1.8697101308365807, 7.36868739590335e-05
10, 1.0,  2.1064076576036235,  2.106315184609865 , 9.247299375836349e-05
11, 1.1,  2.3890388052249008,  2.3889263917287296, 0.00011241349617119312
12, 1.2,  2.7280232768088037,  2.7278914263571985, 0.00013185045160524211
13, 1.3,  3.1368595908214614,  3.1367118787453867, 0.00014771207607466863
14, 1.4,  3.6331498596359895,  3.632995200975811 , 0.0001546586601786082
15, 1.5,  4.239892760623626 ,  4.23974901058035  , 0.00014375004327593643
16, 1.6,  4.987247303463185 ,  4.987146943001195 , 0.00010036046198980131
17, 1.7,  5.914949699489066 ,  5.914948791249223 , 9.082398424453686e-07
18, 1.8,  7.0756428943520335,  7.075835180012538 , 0.00019228566050433216
19, 1.9,  8.539490500974784 ,  8.540029603557885 , 0.0005391025831009699
20, 2.0, 10.400610608357562 , 10.40174504909097  , 0.0011344407334075157
